"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"AIQM","IWJF进风流量计","Int","%MW600","true"
"AIQM","IWJL进料流量","Int","%MW602","true"
"AIQM","IWJF进风压差变送器","Int","%MW604","true"
"AIQM","IWCF出风高效压差变送器","Int","%MW606","true"
"AIQM","IWBD布袋压差变送器","Int","%MW608","true"
"AIQM","IWSS输送高效压差变送器","Int","%MW610","true"
"AIQM","IWJL进料压力","Int","%MW612","true"
"AIQM","IWTN塔内压力","Int","%MW614","true"
"AIQM","IWGD管道压力变送器","Int","%MW616","true"
"AIQM","IWJD进氮压力","Int","%MW618","true"
"AIQM","IWFK放空比例反馈","Int","%MW620","true"
"AIQM","IWJF进风加热比例反馈","Int","%MW622","true"
"AIQM","IWHF回风加热比例反馈","Int","%MW624","true"
"AIQM","IWWH雾化油压","Int","%MW626","true"
"AIQM","IWYH氧含仪1","Int","%MW628","true"
"AIQM","IWYH氧含仪2","Int","%MW630","true"
"AIQM","IWYJ一级溶剂液位计","Int","%MW632","true"
"AIQM","IWEJ二级溶剂液位计","Int","%MW634","true"
"AIQM","IWCW除雾溶剂液位计","Int","%MW636","true"
"AIQM","IWSF送风机","Int","%MW638","true"
"AIQM","IWYF引风机","Int","%MW640","true"
"AIQM","IWLX离心雾化器","Int","%MW642","true"
"AIQM","IWJL进料泵","Int","%MW644","true"
"AIQM","QWSF送风机","Int","%MW700","true"
"AIQM","QWYF引风机","Int","%MW702","true"
"AIQM","QWLX离心雾化器","Int","%MW704","true"
"AIQM","QWJL进料泵","Int","%MW706","true"
"AIQM","QWFK放空比例调节阀","Int","%MW708","true"
"AIQM","QWJF进风加热比例调节阀","Int","%MW710","true"
"AIQM","QWHF回风加热比例调节阀","Int","%MW712","true"
"AIQM","IWFD阀岛气压","Int","%MW646","true"
"AIQM","IWQZ前置水罐液位计","Int","%MW648","true"
"AIQM","IWBY备用2","Int","%MW650","true"
"AIQM","IWBY备用3","Int","%MW652","true"
"AIQM","IWBY备用4","Int","%MW654","true"
"AIQM","IWBY备用5","Int","%MW656","true"
"AIQM","IWBY备用6","Int","%MW658","true"
"AIQM","IWBY备用7","Int","%MW660","true"
"AIQM","IWBY备用8","Int","%MW662","true"
"AIQM","IWBY备用9","Int","%MW664","true"
