"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"Alarm","A备用报警1","Bool","%M23.6","true"
"Alarm","AWK温控高温报警","Bool","%M37.7","true"
"Alarm","AKY空压低压信号","Bool","%M31.3","true"
"Alarm","ASS输送加热报警","Bool","%M34.7","true"
"Alarm","AWH雾化关报警","Bool","%M37.0","true"
"Alarm","AWH雾化开报警","Bool","%M37.1","true"
"Alarm","ABD布袋压差高报","Bool","%M20.2","true"
"Alarm","ABD布袋压差高高报","Bool","%M20.3","true"
"Alarm","AJF进风压差高高报","Bool","%M28.7","true"
"Alarm","AJF进风压差高报","Bool","%M28.6","true"
"Alarm","ATN塔内压力低报","Bool","%M36.4","true"
"Alarm","ATN塔内压力高报","Bool","%M36.6","true"
"Alarm","AJF进风温度高报","Bool","%M29.4","true"
"Alarm","AJF进风温度故障","Bool","%M29.3","true"
"Alarm","ACF出风温度高报","Bool","%M22.3","true"
"Alarm","ACF出风温度故障","Bool","%M22.1","true"
"Alarm","AWH雾化进氮低报","Bool","%M37.5","true"
"Alarm","AWQ尾气温度高报","Bool","%M38.1","true"
"Alarm","报警1","Word","%MW20","true"
"Alarm","ALD冷冻水关报警","Bool","%M31.4","true"
"Alarm","ACF出风温度过低","Bool","%M22.2","true"
"Alarm","AYH氧含量运行故障","Bool","%M39.2","true"
"Alarm","AJT急停报警","Bool","%M30.5","true"
"Alarm","报警2","Word","%MW22","true"
"Alarm","AJD进氮压力低报","Bool","%M27.3","true"
"Alarm","ATN塔内压力高高报","Bool","%M36.7","true"
"Alarm","AJF进风温度高高报","Bool","%M29.5","true"
"Alarm","ACF出风温度高高报","Bool","%M22.4","true"
"Alarm","ATN塔内压力低低报","Bool","%M36.3","true"
"Alarm","AWQ尾气温度高高报","Bool","%M38.2","true"
"Alarm","AGD管道压力高报","Bool","%M26.1","true"
"Alarm","AGD管道压力高高报","Bool","%M26.2","true"
"Alarm","AWQ尾气故障","Bool","%M38.0","true"
"Alarm","ALX离心雾化故障","Bool","%M31.7","true"
"Alarm","AJX机械温控故障","Bool","%M30.6","true"
"Alarm","AQT气体检测低报","Bool","%M32.4","true"
"Alarm","AQT气体检测低低报","Bool","%M32.3","true"
"Alarm","AWK温控未通信","Bool","%M37.6","true"
"Alarm","AHS回收罐1报警","Bool","%M26.7","true"
"Alarm","AHS回收罐2报警","Bool","%M27.0","true"
