"SignalName","PhysicalInput"
"IWJF进风流量计","IW100"
"IWJL进料流量","IW102"
"IWJF进风压差变送器","IW104"
"IWCF出风高效压差变送器","IW106"
"IWBD布袋压差变送器","IW108"
"IWSS输送高效压差变送器","IW110"
"IWJL进料压力","IW112"
"IWTN塔内压力","IW114"
"IWGD管道压力变送器","IW116"
"IWJD进氮压力","IW118"
"IWFK放空比例反馈","IW120"
"IWJF进风加热比例反馈","IW122"
"IWHF回风加热比例反馈","IW124"
"IWWH雾化油压","IW126"
"IWYH氧含仪1","IW128"
"IWYH氧含仪2","IW130"
"IWYJ一级溶剂液位计","IW132"
"IWEJ二级溶剂液位计","IW134"
"IWCW除雾溶剂液位计","IW136"
"IWFD阀岛气压","IW138"
"IWQZ前置水罐液位计","IW140"
"IWBY备用2","IW142"
"IWBY备用3","IW144"
"IWBY备用4","IW146"
"IWBY备用5","IW148"
"IWSF送风机","IW150"
"IWYF引风机","IW152"
"IWLX离心雾化器","IW154"
"IWJL进料泵","IW156"
"IWBY备用6","IW158"
"IWBY备用7","IW160"
"IWBY备用8","IW162"
