"SignalName","PhysicalInput","Inverted"
"ISF送风机","I0.0","True"
"IYF引风机","I0.1","True"
"ILX离心雾化器","I0.2","True"
"IJL进料泵","I0.3","False"
"IDJ电加热","I0.4","False"
"ISF输送风机","I0.5","False"
"ISF输送加热","I0.6","False"
"IJT急停","I0.7","False"
"ILQ冷却水流量","I1.0","False"
"ILD冷冻水流量","I1.1","False"
"IJF进风冷却水流量","I1.2","False"
"IPY排液流量","I1.3","False"
"IBD补氮阀开反馈","I1.4","False"
"IBD补氮阀关反馈","I1.5","False"
"IJD进氮阀开反馈","I1.6","False"
"IJD进氮阀关反馈","I1.7","False"
"IXY泄压阀开反馈","I2.0","False"
"IXY泄压阀关反馈","I2.1","False"
"IQL气流雾化阀开反馈","I2.2","False"
"IQL气流雾化阀关反馈","I2.3","False"
"ISF输送进风阀开反馈","I2.4","False"
"ISF输送进风阀关反馈","I2.5","False"
"IKS开式排风隔断阀开反馈","I2.6","False"
"IKS开式排风隔断阀关反馈","I2.7","False"
"IBS闭式排风隔断阀开反馈","I3.0","False"
"IBS闭式排风隔断阀关反馈","I3.1","False"
"IKS开式进风隔断阀开反馈","I3.2","False"
"IKS开式进风隔断阀关反馈","I3.3","False"
"IBS闭式进风隔断阀开反馈","I3.4","False"
"IBS闭式进风隔断阀关反馈","I3.5","False"
"IYJ一级冷却水阀开反馈","I3.6","False"
"IYJ一级冷却水阀关反馈","I3.7","False"
"IEJ二级冷冻水阀开反馈","I4.0","False"
"IEJ二级冷冻水阀关反馈","I4.1","False"
"IYJ一级排液阀开反馈","I4.2","False"
"IYJ一级排液阀关反馈","I4.3","False"
"IEJ二级排液阀开反馈","I4.4","False"
"IEJ二级排液阀关反馈","I4.5","False"
"ICW除雾排液阀开反馈","I4.6","False"
"ICW除雾排液阀关反馈","I4.7","False"
"IRJ溶剂回收排放阀开反馈","I5.0","False"
"IRJ溶剂回收排放阀关反馈","I5.1","False"
"IJF进风冷却水阀关反馈","I5.2","False"
"IJF进风冷却水阀开反馈","I5.3","False"
"ITD塔顶清洗球阀开反馈","I5.4","False"
"ITD塔顶清洗球阀关反馈","I5.5","False"
"IJF进风保护温度","I6.0","False"
"ISS输送保护温度","I6.1","False"
"IBP爆破片1反馈","I6.2","True"
"IBP爆破片2反馈","I6.3","True"
"IRJ溶剂排液泵开反馈","I6.4","False"
"IRJ溶剂排液泵关反馈","I6.5","False"
"ISN室内排水关反馈","I6.6","False"
"ISN室内排水开反馈","I6.7","False"
