"PhysicalOutput","SignalName","Comment"
"Q0.0","QSF送风机",""
"Q0.1","QSF送风机风扇",""
"Q0.2","QYF引风机",""
"Q0.3","QYF引风机风扇",""
"Q0.4","QLX离心雾化",""
"Q0.5","QLX离心雾化风扇",""
"Q0.6","QLX离心雾化油泵",""
"Q0.7","QJL进料泵",""
"Q1.0","QJL进料泵风扇",""
"Q1.1","QDJ电加热器",""
"Q1.2","QSS输送风机",""
"Q1.3","QSS输送加热器",""
"Q1.4","QFM蜂鸣器",""
"Q1.5","QZS指示灯",""
"Q1.6","QYS钥匙开关",""
"Q1.7","QZM照明灯",""
"Q10.0","QSN室内清洗总阀","// 室内清洗总阀"
"Q10.1","QASA室内回水阀","// A室内回水阀"
"Q10.2","QASA室外回水阀","// A室外回水阀"
"Q10.3","QJF进风蒸汽开关阀",""
"Q10.4","QJF进风蒸汽排水阀",""
"Q10.5","QLG料罐清洗阀",""
"Q10.6","QQX清洗溶剂出阀",""
"Q10.7","QWL物料进阀",""
"Q11.0","QYJ一级出料上阀",""
"Q11.1","QYJ一级出料下阀",""
"Q11.2","QEJ二级出料上阀",""
"Q11.3","QEJ二级出料下阀",""
"Q11.4","QCC除尘出料上阀",""
"Q11.5","QCC除尘出料下阀",""
"Q11.6","QHF回风蒸汽开关阀",""
"Q11.7","QHF回风蒸汽排水阀",""
"Q12.0","QSS输送出料上阀",""
"Q12.1","QSS输送出料下阀","// 空的，未接"
"Q12.2","QQG气缸升",""
"Q12.3","QQG气缸降",""
"Q12.4","QZT主塔清洗进水阀",""
"Q12.5","QXF旋风管道清洗阀",""
"Q12.6","QYJ一级旋风清洗阀",""
"Q12.7","QEJ二级旋风清洗阀",""
"Q13.0","QCC除尘管道清洗阀",""
"Q13.1","QCC除尘清洗阀",""
"Q13.2","QSS输送管路清洗阀",""
"Q13.3","QLC料仓清洗阀",""
"Q13.4","QJR加热清洗阀",""
"Q13.5","QWK蜗壳清洗阀","// Q6.0"
"Q13.6","QCF出风高效清洗阀",""
"Q13.7","QZT主塔排水阀",""
"Q14.0","QSS输送管路排水阀",""
"Q14.1","QLC料仓清洗排水阀",""
"Q14.2","QSF送风机清洗阀",""
"Q14.3","QYF引风机清洗阀",""
"Q14.4","QYJ一级冷凝清洗阀",""
"Q14.5","QEJ二级冷凝清洗阀",""
"Q14.6","QSF送风机排水阀",""
"Q14.7","QYF引风机排水阀",""
"Q15.0","QYJ一级旋风振打锤","// 主塔振打1"
"Q15.1","QYJ一级旋风振荡器","// 主塔振打2"
"Q15.2","QEJ二级旋风振打锤","// 主塔振打3"
"Q15.3","QZT主塔气锤4","// 主塔振打4"
"Q15.4","QQZ前置水阀","// 布袋振打1"
"Q15.6","QYH氧含仪隔断阀","// 氧含仪隔断阀1"
"Q15.7","QHS回水隔断阀1","// 这个空的"
"Q2.0","QBY备用1",""
"Q2.1","QCC除尘脉冲",""
"Q2.2","QBY备用2",""
"Q2.3","QBY备用3",""
"Q2.4","QBY备用4",""
"Q2.5","QRS热水洗请求",""
"Q2.6","","// 无"
"Q2.7","QBY备用7",""
"Q3.0","QXY泄压阀",""
"Q3.1","QJF进风冷却水阀",""
"Q3.2","QSS输送进风阀",""
"Q3.3","QQL气流雾化阀",""
"Q3.4","QKS开式排风隔断阀",""
"Q3.5","QBS闭式排风隔断阀",""
"Q3.6","QKS开式进风隔断阀",""
"Q3.7","QBS闭式进风隔断阀",""
"Q4.0","QYJ一级冷却水阀",""
"Q4.1","QEJ二级冷冻水阀",""
"Q4.2","QYJ一级排液阀",""
"Q4.3","QEJ二级排液阀",""
"Q4.4","QCW除雾排液阀",""
"Q4.5","QRJ溶剂回收排放阀",""
"Q4.6","QSN室内排水隔膜泵","// 回程泵"
"Q4.7","QRJ溶剂排液泵",""
"Q5.2","QASA室内回水阀","// 振打"
"Q5.3","QBD补氮阀",""
"Q5.4","QASA室外回水阀","// 振打"
"Q5.5","QJD进氮阀",""
"Q5.6","QCC除尘气锤1",""
"Q5.7","QCC除尘气锤2",""
"Q6.0","QTD塔顶清洗球阀","// 加阀岛"
"Q6.1","QRJ溶剂排液泵进阀",""
"Q6.3","QSB设备振打",""
