"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"IOM","QSF送风机","Bool","%M300.0","true"
"IOM","QSF送风机风扇","Bool","%M300.1","true"
"IOM","QDJ电加热器","Bool","%M301.1","true"
"IOM","QSS输送风机","Bool","%M301.2","true"
"IOM","QSS输送加热器","Bool","%M301.3","true"
"IOM","QYF引风机","Bool","%M300.2","true"
"IOM","QYF引风机风扇","Bool","%M300.3","true"
"IOM","QLX离心雾化","Bool","%M300.4","true"
"IOM","QLX离心雾化风扇","Bool","%M300.5","true"
"IOM","QLX离心雾化油泵","Bool","%M300.6","true"
"IOM","QJL进料泵","Bool","%M300.7","true"
"IOM","QJL进料泵风扇","Bool","%M301.0","true"
"IOM","QFM蜂鸣器","Bool","%M301.4","true"
"IOM","QZS指示灯","Bool","%M301.5","true"
"IOM","QYS钥匙开关","Bool","%M301.6","true"
"IOM","QZM照明灯","Bool","%M301.7","true"
"IOM","QPH平衡比例调节阀","Bool","%M302.0","true"
"IOM","QCC除尘脉冲","Bool","%M302.1","true"
"IOM","QJF进风蒸汽比例调节阀","Bool","%M302.2","true"
"IOM","QHF回风蒸汽调节阀","Bool","%M302.3","true"
"IOM","QBY备用1","Bool","%M302.4","true"
"IOM","QBY备用2","Bool","%M302.5","true"
"IOM","QBY备用3","Bool","%M302.6","true"
"IOM","QBY备用4","Bool","%M302.7","true"
"IOM","QXY泄压阀","Bool","%M303.0","true"
"IOM","QJF进风冷却水阀","Bool","%M303.1","true"
"IOM","QSS输送进风阀","Bool","%M303.2","true"
"IOM","QQL气流雾化阀","Bool","%M303.3","true"
"IOM","QKS开式排风隔断阀","Bool","%M303.4","true"
"IOM","QBS闭式排风隔断阀","Bool","%M303.5","true"
"IOM","QKS开式进风隔断阀","Bool","%M303.6","true"
"IOM","QBS闭式进风隔断阀","Bool","%M303.7","true"
"IOM","QYJ一级冷却水阀","Bool","%M304.0","true"
"IOM","QEJ二级冷冻水阀","Bool","%M304.1","true"
"IOM","QYJ一级排液阀","Bool","%M304.2","true"
"IOM","QEJ二级排液阀","Bool","%M304.3","true"
"IOM","QCW除雾排液阀","Bool","%M304.4","true"
"IOM","QRJ溶剂回收排放阀","Bool","%M304.5","true"
"IOM","QZT主塔气锤1","Bool","%M304.6","true"
"IOM","QZT主塔气锤2","Bool","%M304.7","true"
"IOM","QZT主塔气锤3","Bool","%M305.0","true"
"IOM","QZT主塔气锤4","Bool","%M305.1","true"
"IOM","QASA室内回水阀","Bool","%M305.2","true"
"IOM","QYJ一级缓存振荡器","Bool","%M305.3","true"
"IOM","QASA室外回水阀","Bool","%M305.4","true"
"IOM","QEJ二级缓存震荡器","Bool","%M305.5","true"
"IOM","QCC除尘气锤1","Bool","%M305.6","true"
"IOM","QCC除尘气锤2","Bool","%M305.7","true"
"IOM","QCC除尘缓存震荡器","Bool","%M306.0","true"
"IOM","QRJ溶剂排液泵进阀","Bool","%M306.1","true"
"IOM","QSN室内清洗总阀","Bool","%M306.2","true"
"IOM","QBD补氮阀","Bool","%M306.3","true"
"IOM","QJD进氮阀","Bool","%M306.4","true"
"IOM","QJF进风蒸汽开关阀","Bool","%M306.5","true"
"IOM","QJF进风蒸汽排水阀","Bool","%M306.6","true"
"IOM","QLG料罐清洗阀","Bool","%M306.7","true"
"IOM","QQX清洗溶剂出阀","Bool","%M307.0","true"
"IOM","QWL物料进阀","Bool","%M307.1","true"
"IOM","QYJ一级出料上阀","Bool","%M307.2","true"
"IOM","QYJ一级出料下阀","Bool","%M307.3","true"
"IOM","QEJ二级出料上阀","Bool","%M307.4","true"
"IOM","QEJ二级出料下阀","Bool","%M307.5","true"
"IOM","QCC除尘出料上阀","Bool","%M307.6","true"
"IOM","QCC除尘出料下阀","Bool","%M307.7","true"
"IOM","QHF回风蒸汽开关阀","Bool","%M308.0","true"
"IOM","QHF回风蒸汽排水阀","Bool","%M308.1","true"
"IOM","QSS输送出料上阀","Bool","%M308.2","true"
"IOM","QSS输送出料下阀","Bool","%M308.3","true"
"IOM","QTD塔顶清洗球阀","Bool","%M308.4","true"
"IOM","QQG气缸升降阀","Bool","%M308.5","true"
"IOM","QZT主塔清洗进水阀","Bool","%M308.6","true"
"IOM","QXF旋风管道清洗阀","Bool","%M308.7","true"
"IOM","QYJ一级旋风清洗阀","Bool","%M309.0","true"
"IOM","QEJ二级旋风清洗阀","Bool","%M309.1","true"
"IOM","QCC除尘管道清洗阀","Bool","%M309.2","true"
"IOM","QCC除尘清洗阀","Bool","%M309.3","true"
"IOM","QSS输送管路清洗阀","Bool","%M309.4","true"
"IOM","QLC料仓清洗阀","Bool","%M309.5","true"
"IOM","QJR加热清洗阀","Bool","%M309.6","true"
"IOM","QWK蜗壳清洗阀","Bool","%M309.7","true"
"IOM","QCF出风高效清洗阀","Bool","%M310.0","true"
"IOM","QZT主塔排水阀","Bool","%M310.1","true"
"IOM","QSS输送管路排水阀","Bool","%M310.2","true"
"IOM","QLC料仓清洗排水阀","Bool","%M310.3","true"
"IOM","QSF送风机清洗阀","Bool","%M310.4","true"
"IOM","QYF引风机清洗阀","Bool","%M310.5","true"
"IOM","QYJ一级冷凝清洗阀","Bool","%M310.6","true"
"IOM","QEJ二级冷凝清洗阀","Bool","%M310.7","true"
"IOM","QSF送风机排水阀","Bool","%M311.0","true"
"IOM","QYF引风机排水阀","Bool","%M311.1","true"
"IOM","ISF送风机","Bool","%M350.0","true"
"IOM","IYF引风机","Bool","%M350.1","true"
"IOM","ILX离心雾化器","Bool","%M350.2","true"
"IOM","IJL进料泵","Bool","%M350.3","true"
"IOM","IDJ电加热","Bool","%M350.4","true"
"IOM","ISF输送风机","Bool","%M350.5","true"
"IOM","ISF输送加热","Bool","%M350.6","true"
"IOM","IJT急停","Bool","%M350.7","true"
