"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"M","MMC脉冲反吹","Bool","%M400.0","true"
"M","MJF进温自整定","Bool","%M400.1","true"
"M","MSF送风机","Bool","%M400.2","true"
"M","MSF送风机风扇","Bool","%M400.3","true"
"M","MDJ电加热器","Bool","%M400.4","true"
"M","MLX离心雾化","Bool","%M400.5","true"
"M","MLX离心雾化风扇","Bool","%M400.6","true"
"M","MLX离心雾化油泵","Bool","%M400.7","true"
"M","MJL进料泵","Bool","%M401.0","true"
"M","MJL进料泵风扇","Bool","%M401.1","true"
"M","MYF引风机","Bool","%M401.2","true"
"M","MYF引风机风扇","Bool","%M401.3","true"
"M","MSF输送风机","Bool","%M401.4","true"
"M","MSF输送加热器","Bool","%M401.5","true"
"M","MRJ溶剂排液泵","Bool","%M401.6","true"
"M","MCC除尘脉冲","Bool","%M401.7","true"
"M","MFM蜂鸣器","Bool","%M402.0","true"
"M","MZS指示灯","Bool","%M402.1","true"
"M","MYS钥匙开关","Bool","%M402.2","true"
"M","MQX清洗溶剂罐进氮阀","Bool","%M402.3","true"
"M","MBD补氮阀","Bool","%M402.4","true"
"M","MJD进氮阀","Bool","%M402.5","true"
"M","MJF进风蒸汽开关阀","Bool","%M402.6","true"
"M","MJF进风蒸汽比例调节阀","Bool","%M402.7","true"
"M","MJF进风蒸汽排水阀","Bool","%M403.0","true"
"M","MQX清洗溶剂进阀","Bool","%M403.1","true"
"M","MQX清洗溶剂出阀","Bool","%M403.2","true"
"M","MWL物料进阀","Bool","%M403.3","true"
"M","MYJ一级出料上阀","Bool","%M403.4","true"
"M","MYJ一级出料下阀","Bool","%M403.5","true"
"M","MEJ二级出料上阀","Bool","%M403.6","true"
"M","MEJ二级出料下阀","Bool","%M403.7","true"
"M","MCC除尘出料上阀","Bool","%M404.0","true"
"M","MCC除尘出料下阀","Bool","%M404.1","true"
"M","MKS开式排风隔断阀","Bool","%M404.2","true"
"M","MBS闭式排风隔断阀","Bool","%M404.3","true"
"M","MKS开式进风隔断阀","Bool","%M404.4","true"
"M","MBS闭式进风隔断阀","Bool","%M404.5","true"
"M","MYJ一级冷却水阀","Bool","%M404.6","true"
"M","MYJ二级冷冻水阀","Bool","%M404.7","true"
"M","MYJ一级排液阀","Bool","%M405.0","true"
"M","MEJ二级排液阀","Bool","%M405.1","true"
"M","MCW除雾排液阀","Bool","%M405.2","true"
"M","MRJ溶剂回收排放阀","Bool","%M405.3","true"
"M","MHF回风蒸汽开关阀","Bool","%M405.4","true"
"M","MHF回风蒸汽调节阀","Bool","%M405.5","true"
"M","MHF回风蒸汽排水阀","Bool","%M405.6","true"
"M","MXY泄压阀","Bool","%M405.7","true"
"M","MPH平衡比例调节阀","Bool","%M406.0","true"
"M","MJF进风冷却水阀","Bool","%M406.1","true"
"M","MSS输送进风阀","Bool","%M406.2","true"
"M","MSS输送出料上阀","Bool","%M406.3","true"
"M","MSS输送出料下阀","Bool","%M406.4","true"
"M","MQL气流雾化阀","Bool","%M406.5","true"
"M","MZT主塔气锤","Bool","%M406.6","true"
"M","MYJ一级旋风气锤","Bool","%M406.7","true"
"M","MYJ一级缓存振荡器","Bool","%M407.0","true"
"M","MEJ二级旋风气锤","Bool","%M407.1","true"
"M","MEJ二级缓存震荡器","Bool","%M407.2","true"
"M","MCC除尘气锤","Bool","%M407.3","true"
"M","MCC除尘缓存震荡器","Bool","%M407.4","true"
"M","MTD塔顶清洗球阀","Bool","%M407.5","true"
"M","MQG气缸升降阀","Bool","%M407.6","true"
"M","MZT主塔清洗进水阀","Bool","%M407.7","true"
"M","MXF旋风管道清洗阀","Bool","%M408.0","true"
"M","MYJ一级旋风清洗阀","Bool","%M408.1","true"
"M","MEJ二级旋风清洗阀","Bool","%M408.2","true"
"M","MCC除尘管道清洗阀","Bool","%M408.3","true"
"M","MCC除尘清洗阀","Bool","%M408.4","true"
"M","MSS输送管路清洗阀","Bool","%M408.5","true"
"M","MLC料仓清洗阀","Bool","%M408.6","true"
"M","MJR加热清洗阀","Bool","%M408.7","true"
"M","MWK蜗壳清洗阀","Bool","%M409.0","true"
"M","MCF出风高效清洗阀","Bool","%M409.1","true"
"M","MZT主塔排水阀","Bool","%M409.2","true"
"M","MSS输送管路排水阀","Bool","%M409.3","true"
"M","MLC料仓清洗排水阀","Bool","%M409.4","true"
"M","MSF送风机清洗阀","Bool","%M409.5","true"
"M","MYF引风机清洗阀","Bool","%M409.6","true"
"M","MYJ一级冷凝清洗阀","Bool","%M409.7","true"
"M","MEJ二级冷凝清洗阀","Bool","%M410.0","true"
"M","MSF送风机排水阀","Bool","%M410.1","true"
"M","MYF引风机排水阀","Bool","%M410.2","true"
"M","MEJ二级冷冻水阀","Bool","%M410.3","true"
"M","MQX清洗伸缩气缸","Bool","%M410.4","true"
"M","MFK放空比例调节阀","Bool","%M410.5","true"
"M","MHF回风加热比例调节阀","Bool","%M410.6","true"
"M","MJF进风加热比例调节阀","Bool","%M410.7","true"
"M","MYJ一级出料","Bool","%M411.0","true"
"M","MEJ二级出料","Bool","%M411.1","true"
"M","MBD布袋出料","Bool","%M411.2","true"
"M","MSS输送出料","Bool","%M411.3","true"
"M","MQG气缸升","Bool","%M411.4","true"
"M","MQG气缸降","Bool","%M411.5","true"
"M","MYH氧含仪隔断阀","Bool","%M411.6","true"
"M","MSN室内排水隔膜泵","Bool","%M412.0","true"
"M","MSS输送自整定","Bool","%M412.1","true"
"M","MSS输送加热","Bool","%M412.2","true"
"M","MBY100","Bool","%M412.3","true"
"M","MBY101","Bool","%M412.4","true"
"M","MAS室外回水阀","Bool","%M412.5","true"
"M","MAS室内回水阀","Bool","%M412.6","true"
"M","MSN室内清洗总阀","Bool","%M412.7","true"
"M","MHS回水隔断阀1","Bool","%M413.0","true"
"M","MAB进水隔断阀","Bool","%M413.1","true"
"M","MHSQ回水隔断阀1","Bool","%M413.2","true"
"M","MABQ进水隔断阀","Bool","%M413.3","true"
"M","MLG料罐清洗阀","Bool","%M413.4","true"
"M","MHF回风温度加热","Bool","%M413.5","true"
"M","MHF回风加热自整定","Bool","%M413.6","true"
"M","MSC四参数控制","Bool","%M413.7","true"
"M","MMC脉冲周期_PID","Bool","%M414.0","true"
"M","MMC脉冲周期_进料","Bool","%M414.1","true"
"M","MLS料水手动调节","Bool","%M414.2","true"
"M","MXT心跳接受信号","Bool","%M414.3","true"
"M","MCS纯水洗请求","Bool","%M414.4","true"
"M","MJS碱水洗请求","Bool","%M414.5","true"
"M","MRJ溶剂请求","Bool","%M414.6","true"
"M","MYG压干请求","Bool","%M414.7","true"
"M","MQR确认","Bool","%M415.0","true"
"M","MSC四参数手动调节","Bool","%M415.1","true"
"M","MZT暂停辅助","Bool","%M415.2","true"
"M","MSC四参数开辅助","Bool","%M415.3","true"
"M","MSC四参数关辅助","Bool","%M415.4","true"
"M","MJL进料调节","Bool","%M415.5","true"
"M","MSC四参数调节","Bool","%M415.6","true"
"M","MSC四参数手动状态","Bool","%M415.7","true"
"M","MJL进料手动状态","Bool","%M416.1","true"
"M","MSS输送系统","Bool","%M416.2","true"
"M","MJS进水调节","Bool","%M416.3","true"
"M","MLS料水系统调节","Bool","%M416.4","true"
"M","MKS开始清洗","Bool","%M416.5","true"
"M","MJS结束清洗","Bool","%M416.6","true"
"M","MZB准备清洗","Bool","%M416.7","true"
"M","MCZ初状态","Bool","%M417.0","true"
"M","MZD自动清洗","Bool","%M417.1","true"
"M","MSD手动_纯水清洗","Bool","%M417.2","true"
"M","MSD手动_碱水清洗","Bool","%M417.3","true"
"M","MQX清洗辅助","Bool","%M417.4","true"
"M","MSD手动_溶剂清洗(1)","Bool","%M417.5","true"
"M","MSD手动_溶剂清洗","Bool","%M417.6","true"
"M","MZT主塔伸缩气缸","Bool","%M417.7","true"
"M","MZT主塔清洗","Bool","%M418.0","true"
"M","MZT总通路","Bool","%M418.1","true"
"M","MXY泄压请求","Bool","%M418.2","true"
"M","QXY泄压请求","Bool","%M418.3","true"
"M","MBJ本机调试模式","Bool","%M418.4","true"
"M","MSD手动_二纯水清洗","Bool","%M418.5","true"
"M","MFZ仿真调试","Bool","%M418.6","true"
"M","MSB设备振打","Bool","%M418.7","true"
"M","MQZ前置水阀","Bool","%M419.0","true"
"M","MYJ一级旋风振打锤","Bool","%M419.1","true"
"M","MEJ二级旋风振打锤","Bool","%M419.2","true"
"M","MYJ一级旋风振荡器","Bool","%M419.3","true"
"M","MAQ安全停机","Bool","%M419.4","true"
"M","MZS注射水请求","Bool","%M419.5","true"
"M","MSJ水进程泵","Bool","%M419.6","true"
"M","MRJ溶剂进程泵","Bool","%M419.7","true"
"M","MGS供水泵","Bool","%M420.0","true"
"M","MRC热纯自动洗","Bool","%M420.1","true"
"M","MRC热纯加热","Bool","%M420.2","true"
"M","MBD本地调试","Bool","%M420.3","true"
"M","MRS热水洗请求","Bool","%M420.4","true"
"M","MGD管道压力手动调节","Bool","%M420.5","true"
"M","MPS排水运行标志","Bool","%M420.6","true"
